"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
255,US,A,US 440568 A,018-015-326-961-318,1890-11-11,1890,US 440568D A,,,,US 440568 A,,,,,https://lens.org/018-015-326-961-318,Granted Patent,no,0,26,1,1,0,A01K77/00;;A01K77/00,,,0,0,,,,EXPIRED
256,FR,A2,FR 2417939 A2,010-576-821-947-598,1979-09-21,1979,FR 7806552 A,1978-02-24,FR 7806552 A,1978-02-24,Pump for removing live fish from growing pool - has screw conveyor with larger dia. inlet section in transparent casing,The device is for removing live fish from a pool. A conveying screw has a section of grating type screw windings enclosed by a cylindrical drum at its inlet end and a section of feed windings arranged on the same extended drive shaft and enclosed by a cylindrical casing tube. The fish passage extends from a hole in the casing tube and passes around the conveying windings and a deflector at the last grating-type screw winding. The drum is of transparent material.,FAIVRE CLAUDE,,,https://lens.org/010-576-821-947-598,Patent Application,no,3,0,2,22,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
257,CN,B,CN 109479842 B,015-868-831-858-472,2021-05-04,2021,CN 201811262955 A,2018-10-27,CN 201811262955 A,2018-10-27,一种钓鱼用鱼框辅助设备,本发明涉及渔具技术领域，且公开了一种钓鱼用鱼框辅助设备，包括辅助支撑设备本体，所述辅助支撑设备本体的内壁活动连接转盘。本发明解决了针对钓鱼爱好者的鱼竿进行改造，通过将鱼竿进行固定的同时在鱼竿的顶部所连接的辅助设备可以对鱼类进行更好的捕捉，避免鱼类在进食的时候，钓鱼爱好者无法将鱼托出水面的问题，本发明通过在伸缩倾斜鱼竿的外壁上侧开口处插入的螺纹支撑柱对鱼罩的固定，此类螺纹连接方便了鱼罩的更换，并且鱼罩的顶部所连接的焊接块配合上伸缩支杆可对鱼罩的收缩，并且在鱼进入鱼罩后朝向本体方向拉动，将鱼罩内的鱼拾取。,威海中易碳素制品有限公司,范立军,,https://lens.org/015-868-831-858-472,Granted Patent,no,0,1,3,3,0,A01K87/00;;A01K77/00;;A01K97/00,A01K87/00;;A01K77/00;;A01K97/00,,0,0,,,,ACTIVE
258,KR,U,KR 19990021933 U,020-074-860-660-373,1999-06-25,1999,KR 19990001458 U,1999-02-02,KR 19990001458 U,1999-02-02,Net hauler for set net,"본 고안은 정치망의 망갈이 작업시 어망을 어장으로 부터 기계식으로 매우 편리하게 끌어 올리는 데 사용되는 정치망용 양망기에 관한 것으로 더욱 구체적으로는 서로 반대방향으로 회전하는 두개의 드럼의 사이에 어망을 끼워 양망할 수 있게 한 데 특징이 있다. 이를 위하여 본 고안은, 가이드 로울러을 일측상부에 설치한 양망기 본체의 상부에 요철을 형성한 고무를 피복시킨 고정드럼과 본체에 뚫은 구멍을 따라 죄우로 이동자재되는 텐션드럼을 유압모터에 의해 서로 반대방향으로 회전되게 나란히 설치하고 텐션드럼은 축수와 가이드바를 매개로 좌우로 이동자재되게 설치하되 텐션조절바와 텐션조절 스크류를 부착한 상부 가이드바에 스프링을 끼워 설치한 것에 특징이 있다.",이주희;;이춘우,이주희;;이춘우,,https://lens.org/020-074-860-660-373,Patent Application,no,0,1,2,2,0,A01K73/06;;A01K77/00;;B66D1/60;;B66D1/14,,,0,0,,,,EXPIRED
259,DE,U,DE 1950020 U,014-460-225-454-990,1966-11-17,1966,DE O0008928 U,1966-08-04,DE O0008928 U,1966-08-04,FISCHREUSE.,,OFFENBACHER KRANKENFAHRZEUGFAB,,,https://lens.org/014-460-225-454-990,Limited Patent,no,0,0,1,1,0,A01K61/60;;A01K74/00;;A01K77/00;;A01K75/00,,"45h,69/05",0,0,,,,EXPIRED
260,SE,L,SE 9401256 L,009-868-128-008-591,1995-10-15,1995,SE 9401256 A,1994-04-14,SE 9401256 A,1994-04-14,Sportfiskehåv,,GOERAN MYRGREN,MYRGREN GOERAN,,https://lens.org/009-868-128-008-591,Abstract,no,0,0,2,2,0,A01K77/00,A01K77/00,,0,0,,,,PENDING
261,US,A1,US 2004/0216354 A1,003-146-235-806-991,2004-11-04,2004,US 68200703 A,2003-10-09,US 68200703 A;;US 41733902 P,2002-10-09,Pocket fishing net,"
    An improved fishing net ( 10 ) has a handle ( 12 ). One end of the handle is looped and provides a mouth for fish net ( 14 ). The net has two sections ( 14 A, 14 B). A first net section ( 14 A) has its mouth end attached to the net handle. The section then tapers toward its lower, also open, end which is encircled by an elastic band ( 16 ). The second net section ( 14 B) comprises a pocket whose upper, mouth end is attached to the elastic band. This lower, bottom end of the pocket is closed so fish landed in the net cannot escape from it. The pocket is elongated and of a relatively small diameter so a fish caught in the lower end of the net cannot move about too much. This allows a fisherman to readily grasp the fish by encircling his hand about the pocket and gently squeezing the fish. 
",SOEST ROBERT B.,SOEST ROBERT B,,https://lens.org/003-146-235-806-991,Patent Application,yes,4,7,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/7,0,0,,,,DISCONTINUED
262,CN,A,CN 104430220 A,009-610-708-950-518,2015-03-25,2015,CN 201410553377 A,2014-10-09,CN 201410553377 A,2014-10-09,Small fish net with feeding function,The invention discloses a small fish net with the feeding function. The small fish net with the feeding function is characterized by being divided into a small fish net body (1) and a feeding chamber (2); the feeding chamber (2) is buckled on a fish net rod.,BU XINGWEI,BU XINGWEI,,https://lens.org/009-610-708-950-518,Patent Application,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
263,KR,A,KR 20050031500 A,008-611-289-109-633,2005-04-06,2005,KR 20030067648 A,2003-09-30,KR 20030067648 A,2003-09-30,AUTO ANGLING LINE HAULER,"An auto bait throwing machine is provided to reduce the number of onboard person, to reduce fishing cost, to increase lifting capacity and to thus increase fishing efficiency, by means of an automation of a manual operation. The auto bait throwing machine includes a winch around which only a rope is wound. Multiple fishing lines are automatically separated depending upon a lifting velocity of the winch. Separated fishing lines are stored at storing rails in a certain order. The lifting velocity of the winch is regulated by a velocity in which the rope is wound around the winch. The moving power of the fishing lines uses a side conveyor. The auto bait throwing machine uses rails.",JUNG SANG HOON,JUNG SANG HOON,,https://lens.org/008-611-289-109-633,Patent Application,no,0,0,1,1,0,A01K91/18;;A01K77/00,A01K91/18,,0,0,,,,DISCONTINUED
264,SE,C1,SE 93855 C1,015-617-900-423-047,,,SE 93855D A,,SE 93855T A,,SE 93855 C1,,,,,https://lens.org/015-617-900-423-047,Granted Patent,no,0,0,1,1,0,A01K77/00,,,0,0,,,,UNKNOWN
265,KR,Y1,KR 930003198 Y1,022-288-303-951-422,1993-06-03,1993,KR 910012512 U,1991-08-06,KR 910012512 U,1991-08-06,APPARATUS FOR LINE OF IN THE BREEDING MARINE PRODUCT,,YU KUM BOM,YU KUM-BOM,,https://lens.org/022-288-303-951-422,Unknown,no,0,0,2,2,0,A01K71/00;;A01K61/60;;A01K77/00,A01K73/06,,0,0,,,,EXPIRED
266,US,A,US 723484 A,029-756-498-803-321,1903-03-24,1903,US 1902/0127600 A,1902-10-16,US 1902/0127600 A,1902-10-16,LANDING-NET.,,PALEY GEORGE,PALEY GEORGE,,https://lens.org/029-756-498-803-321,Granted Patent,no,0,3,1,1,0,A01K77/00;;A01K77/00,,,0,0,,,,EXPIRED
267,KR,A,KR 20220162295 A,029-697-533-299-638,2022-12-08,2022,KR 20210070596 A,2021-06-01,KR 20210070596 A,2021-06-01,FORWARD-REVERSE CONVERTER DEVICE FOR A NET HAULER MOTOR,"Disclosed is a forward-reverse converting device for a net hauler motor. The forward-reverse converting device for a net hauler motor according to an aspect of the present invention comprises: a casing which forms an accommodating space opened in one side inside; a plurality of contacts which are fixed to the casing inside the accommodating space; a rotating unit which is rotated around a virtual rotating axis extending along an axis direction by being arranged to be adjacent to the plurality of contacts and being combined with the casing to be rotated; a connecting unit which is provided on the outer surface of the rotating unit and allows flow of current; and a shaft which is combined with the rotating unit, and extends along the axis direction. Herein, at least one among the contacts in contact with the connecting unit when the rotating unit is arranged at a first rotating angle is different from a contact in contact with the connecting unit when the rotating unit is arranged at a second rotating angle. According to an embodiment of the present invention, the forward-reverse converting device for a net hauler motor has a high waterproof performance, and prevents a malfunction even through there is moisture penetration.",JONG SU KAE,JONG SU KAE,,https://lens.org/029-697-533-299-638,Patent Application,no,6,0,2,2,0,A01K73/06;;A01K77/00;;H02K7/116;;H02P7/03,A01K73/06;;A01K77/00;;H02K7/116;;H02P7/03,,0,0,,,,ACTIVE
268,FR,A,FR 986114 A,030-036-352-233-645,1951-07-27,1951,FR 986114D A,1949-05-11,FR 986114T A,1949-05-11,épuisette,,C F P,,,https://lens.org/030-036-352-233-645,Granted Patent,no,0,3,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
269,US,A,US 6036067 A,033-844-845-886-702,2000-03-14,2000,US 21740798 A,1998-12-21,US 21740798 A,1998-12-21,Carrier for fish landing net,"A carrier (10) for a fish landing net (20) comprises two essentially flat and parallel sides (12, 14) that are attached together along the majority of their adjacent edges (16, 18) in a manner to form a pocket for receiving therein the fish landing net. A handle opening (30) at the bottom of the carrier permits the handle (26) to extend from the body of the carrier. The carrier includes an open/closure mechanism across the top or a part of the top and one side for permitting easy opening and withdrawal of the fish landing net from the carrier and easy insertion of the fish landing net into the carrier and closing. The fish landing net carrier also includes a plurality of individual pockets (36) of various shapes and sizes for carrying a variety of fishing accessories. In addition, the fish landing net carrier includes a strap mechanism (40) for strapping one or more fishing poles, rods, or pole caddies onto the back of the carrier for ease of transportation. The fish landing net carrier may include a number of straps, handles, and hooks for enabling the fisherman to easily transport the fish landing net within the carrier, a number of fishing accessories, and a number of fishing poles, rods, or pole caddies contemporaneously either by hand, over-the-shoulder, or attached to a backpack.",ALCORN; A. SHANE,ALCORN A SHANE,,https://lens.org/033-844-845-886-702,Granted Patent,yes,20,35,1,1,0,A01K77/00;;A01K97/06;;A45F3/00;;Y10S224/922;;A01K77/00;;A45F3/00;;A01K97/06;;Y10S224/922,A01K77/00;;A01K97/06;;A45F3/00,224/153;;43/54.1;;206/315.11;;224/223;;224/579;;224/584;;224/645;;224/922,0,0,,,,EXPIRED
270,US,A,US 4021956 A,038-425-237-643-366,1977-05-10,1977,US 71522876 A,1976-08-18,US 71522876 A,1976-08-18,Fishing net,"A frame has crossed arm portions and has a resilient action such that the resilient effect will bring together the net supporting arms of the frame and manual compression of the handle will spread the arms apart. Net material depends from the arms, is opened into maximum receiving position upon suitable grasping and compression of the handle and is closed into a fish retaining condition by partial relaxation of the manual compression of the handle. Means are provided if desired for limiting the maximum distance the net supporting arms can separate from each other.",HOGG JOHN A,HOGG JOHN A,,https://lens.org/038-425-237-643-366,Granted Patent,yes,3,13,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/12,0,0,,,,EXPIRED
271,KR,B1,KR 101736700 B1,036-530-605-768-341,2017-05-29,2017,KR 20160182524 A,2016-12-29,KR 20160182524 A,2016-12-29,LINE HAULER FOR FISHING,"The present invention aims to provide a line hauler for fishing, capable of changing force and rate for hauling a fishing line. According to the present invention, the line hauler for fishing comprises: a main body forming an outer appearance; a driving unit mounted inside the main body; a drum mounted on the main body and rotating in a forward or reverse direction by the driving unit; and a guide unit for guiding the fishing line wound on the drum, wherein the driving unit rotates the drum by at least one of two forces.",LEE MAN BOK,LEE MAN BOK,,https://lens.org/036-530-605-768-341,Granted Patent,no,0,1,1,1,0,A01K91/18;;A01K77/00;;A01K97/00,A01K91/18;;A01K97/00,,0,0,,,,ACTIVE
272,KR,A,KR 20210012211 A,033-271-746-796-706,2021-02-03,2021,KR 20190089527 A,2019-07-24,KR 20190089527 A,2019-07-24,A Collapsible Landing Net For Fishing,"The present invention relates to a collapsible landing net for fishing. A locking step is formed on one side of an outside frame of a frame portion and one side of an inside frame of the frame portion. The locking steps formed in the outside and inside frames are formed in opposite directions. The inside frame is inserted and connected between the locking steps of the outside frame. The outside frame is inserted and connected between the locking steps of the inside frame. The other side part where the locking step is not formed in the outside frame is inserted into a connection tube of connection means. The other side part where the locking step is not formed in the inside frame is inserted into and fixed to a connecting tube of a folding portion. When the landing net is not used, the outside frame is slid toward and overlaps the inside frame. Then, each connecting tube of the folding portion is rotated inward about a fixing pin. Then, the slid and overlapped frame portions can be mutually folded and storage and movement can be facilitated.",LEE SUNG KYU;;LEE JI EUN;;BLUEZONE FISHING CO LTD,LEE SUNG KYU,,https://lens.org/033-271-746-796-706,Patent Application,no,6,0,2,2,0,A01K77/005,A01K77/00,,0,0,,,,ACTIVE
273,CN,A,CN 111631177 A,042-414-847-828-895,2020-09-08,2020,CN 202010349028 A,2020-04-28,CN 202010349028 A,2020-04-28,Quantitative investigation device and method for early-stage resources of eriocheir sinensis,"The invention relates to a quantitative investigation device and method for the early-stage resources of eriocheir sinensis. The device comprises a tubular column, a water pump, a collection filter net and a hand dip net, wherein the tubular column is of a transparent hollow column structure, and the side wall of the tubular column is marked with a height scale; the water pumping hole of the waterpump is connected with a water feeding pipe; the other end of the water feeding pipe extends into the inner cavity of the tubular column; and the water outlet of the water pump is connected with thenet hole of the collection filter net. According to the quantitative investigation device, the early-stage resources of the eriocheir sinensis in different water layers and the eriocheir sinensis which inhabits on the water bottom or is hidden in the bottom sediment of the water bottom can be fully sampled, data statistics accuracy is guaranteed, and the accurate quantitation of the investigationof the early-stage resources of the eriocheir sinensis is realized so as to be favorable for improving the accuracy of the integral level evaluation of the early-stage resources of the eriocheir sinensis. The quantitative investigation device has a simple structure, can be easily operated and implemented and is convenient to carry out investigation and research in the open air.",EAST CHINA SEA FISHERIES RES INST CAFS,ZHAO FENG;;WANG YU;;GENG ZHI;;WANG SIKAI;;YANG GANG;;SONG CHAO;;ZHANG TAO;;ZHUANG PING,,https://lens.org/042-414-847-828-895,Patent Application,no,8,0,2,2,0,A01K61/59;;A01K77/00;;A01K80/00;;Y02A40/81,A01K61/59;;A01K77/00;;A01K80/00,,0,0,,,,ACTIVE
274,US,A,US 2420087 A,042-857-527-518-663,1947-05-06,1947,US 50905943 A,1943-11-05,US 50905943 A,1943-11-05,Fish landing net,,BERNARD C HOGQUIST,MEEK MELVIN J,,https://lens.org/042-857-527-518-663,Granted Patent,no,9,22,1,1,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
